PlotNo,Dimensions,Area_SqYds,Facing,Status,Owner
1,34.74' x 65.0',251,North,AVAILABLE,Unassigned
2,35.0' x 64.9',252,North,AVAILABLE,Unassigned
3,70.2' x 64.6',504,North,RESERVED,Mortgaged to APCRDA
4,35.0' x 64.3',250,North,AVAILABLE,Unassigned
5,35.0' x 64.3',250,North,AVAILABLE,Unassigned
6,74.3' x 64.2',531,North,RESERVED,Mortgaged to APCRDA
7,35.0' x 64.3',250,North,AVAILABLE,Unassigned
8,35.0' x 64.5',251,North,AVAILABLE,Unassigned
9,35.0' x 64.5',251,North,AVAILABLE,Unassigned
10,35.0' x 64.5',251,North,AVAILABLE,Unassigned
11,35.0' x 64.5',251,North,AVAILABLE,Unassigned
12,35.0' x 64.5',251,North,AVAILABLE,Unassigned
13,35.0' x 64.5',251,North,AVAILABLE,Unassigned
14,38.0' x 64.5',272,North,AVAILABLE,Unassigned
15,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
16,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
17,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
18,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
19,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
20,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
21,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
22,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
23,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
24,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
25,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
26,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
27,33.0' x 52.5.0',201,West,AVAILABLE,Unassigned
28,33.0' x 52.5.0',201,East,AVAILABLE,Unassigned
29,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
30,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
31,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
32,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
33,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
34,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
35,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
36,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
37,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
38,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
39,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
40,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
41,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
42,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
43,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
44,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
45,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
46,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
47,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
48,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
49,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
50,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
51,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
52,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
53,33.0' x 52.5.0',201,West,AVAILABLE,Unassigned
54,33.0' x 52.5.0',201,East,AVAILABLE,Unassigned
52.5,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
56,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
57,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
58,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
59,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
60,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
61,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
62,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
63,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
64,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
65,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
66,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
67,30.0' x 52.5.0',183,West,RESERVED,Mortgaged to APCRDA
68,30.0' x 52.5.0',183,West,RESERVED,Mortgaged to APCRDA
69,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
70,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
71,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
72,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
73,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
74,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
75,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
76,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
77,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
78,30.0' x 52.5.0',183,West,AVAILABLE,Unassigned
79,33.0' x 52.5.0',201,West,AVAILABLE,Unassigned
80,33.0' x 52.5.0',201,East,AVAILABLE,Unassigned
81,30.0' x 52.5.0',183,East,AVAILABLE,Unassigned
